350.0000.211100.000000.000.0000000                                                                                                                         	350                      	211100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -260242.14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
350.0000.231450.000000.000.0000000                                                                                                                         	350                      	231450                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -727846.65                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
400.0000.201100.000000.000.0000000                                                                                                                         	400                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -7870782.7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201100.000000.000.0000000                                                                                                                         	410                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -5725238.8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201900.000000.110.0000000                                                                                                                         	410                      	201900                   	110                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -61841.41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201900.000000.120.0000000                                                                                                                         	410                      	201900                   	120                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201900.000000.130.0000000                                                                                                                         	410                      	201900                   	130                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -1760517.7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201900.000000.140.0000000                                                                                                                         	410                      	201900                   	140                      	 	 	 	 	 	 	 	01/31/2017	 	 	                 -4870.02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201900.000000.300.0000000                                                                                                                         	410                      	201900                   	300                      	 	 	 	 	 	 	 	01/31/2017	 	 	                     -116                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
410.0000.201900.000000.410.0000000                                                                                                                         	410                      	201900                   	410                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -66979262                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
